target,y_cov,rtg,n_dates,rho_lvl,abs_rho_lvl,rho_res,abs_rho_res,share_res_gt_03,acf1_res,stress_lift_res,stress_lift_lvl
yield,D2D,AAA,101,0.06666666666666667,0.17945672103440022,-0.03358009572318922,0.2903631811066201,0.49504950495049505,0.8357243708523827,-0.15032833638951007,0.11023775642282602
yield,D2D,AA,207,0.012281911323501269,0.078648508603488,-0.05482816323553873,0.16710310130846123,0.1642512077294686,0.938972065681974,0.15427534388578135,0.2727086048696158
yield,D2D,A,207,-0.009926728826742552,0.08673240235710414,0.03821739264648212,0.10410335418633786,0.12077294685990338,0.9535732667501663,0.2220059474355936,0.24938634139190397
yield,D2D,BBB,207,-0.1731616710760305,0.1731616710760305,0.039463719423449145,0.16515306861424478,0.21739130434782608,0.9706478338418186,0.09851453709519412,0.1479864095128982
yield,D2D,BB,207,-0.21008445207105542,0.21008445207105542,0.07706917410124105,0.20889897170479596,0.32367149758454106,0.9484057149253804,0.06545388789458068,0.17958142189052975
yield,D2D,B,207,-0.3465649100930416,0.3465649100930416,0.053739683154742396,0.22010910831784494,0.3526570048309179,0.9146919040920735,-0.10789867231938088,-0.10653285174955263
yield,VaR,AAA,202,-0.7924242424242425,0.7924242424242425,-0.06666666666666667,0.4763546798029556,0.6994535519125683,0.9323372708210931,0.2995477854992492,-0.05956203555217565
yield,VaR,AA,206,-0.8181009934394714,0.8181009934394714,-0.2085930565899144,0.4614968170702111,0.6951871657754011,0.9639770653156191,0.161622506419758,-0.03554770093076909
yield,VaR,A,206,-0.797469861326372,0.797469861326372,-0.2989461232517534,0.3242233675079227,0.5454545454545454,0.9549823062106119,0.24044118013135607,-0.027613219432039537
yield,VaR,BBB,206,-0.7649029994322629,0.7649029994322629,-0.30935841935841935,0.334767191623043,0.5668449197860963,0.970728085618704,0.13901550864058393,0.0255231291731548
yield,VaR,BB,206,-0.38167295628171516,0.38167295628171516,-0.03194831204817624,0.19193635060902797,0.18716577540106952,0.9266193288421412,-0.060017513714502035,0.09381515446574223
yield,VaR,B,206,-0.3124101157733496,0.3124101157733496,0.03596059113300492,0.1686035483503838,0.31016042780748665,0.8975226107570349,0.01970204834169184,0.023258676497427466
yield,age,AAA,207,-0.15375438879649828,0.1632910990502456,0.17742752892423214,0.2831988582390269,0.47342995169082125,0.9635822520365054,0.1773172745254174,0.2899393969323353
yield,age,AA,207,-0.18249779172987257,0.18249779172987257,-0.08461910754385511,0.13262262409643374,0.09178743961352658,0.9012639263653934,0.04839617647409811,0.008361990440329592
yield,age,A,207,-0.1899532554919239,0.1899532554919239,-0.040418449542478835,0.11892276679429917,0.12560386473429952,0.974576607687426,0.10887938155728154,0.05820560532228106
yield,age,BBB,207,-0.1598923090132937,0.1598923090132937,-0.10178835524947931,0.1450829094495717,0.1111111111111111,0.9771197212084224,0.06864789244893527,0.1205450953960027
yield,age,BB,207,-0.12067691816709845,0.12099653740606106,-0.09105427489535008,0.15347544903317326,0.2222222222222222,0.9586214159296427,0.03572296721697399,0.04007258894273012
yield,age,B,207,-0.0576991282178577,0.10339685200484072,0.07072110406449919,0.1703785574792884,0.18840579710144928,0.9537771896104152,0.08876310551155023,0.1284253210017321
yield,amtout,AAA,207,0.0994680879778358,0.16941555941850334,-0.013694304786994444,0.263823541230135,0.4396135265700483,0.969242706106653,0.16503938350557978,0.2917508544016597
yield,amtout,AA,207,0.11552701399344134,0.11726582335024434,-0.017400146749152464,0.09659657351625882,0.01932367149758454,0.9288320125268891,0.16169725803219379,0.1867540776680786
yield,amtout,A,207,0.16738298468992563,0.16860765137434375,-0.019012993292683685,0.09540602372901089,0.01932367149758454,0.9507755669064788,0.16444367958350414,0.13429256111736831
yield,amtout,BBB,207,0.07226581667711143,0.07984144912654392,0.0009249086211543391,0.05413496185292853,0.0,0.9085821359428525,0.05531538926839616,0.051997020833381494
yield,amtout,BB,207,-0.010669150179443681,0.07153259021775125,-0.06254093858949275,0.10321182947389984,0.043478260869565216,0.8631698166788012,-0.02893849620530442,0.042697947483319384
yield,amtout,B,207,-0.15129785033500132,0.15515917647440014,-0.07798491030410981,0.1330222123924731,0.13526570048309178,0.8864113377577877,-0.02370714541207261,-0.08376727058784292
yield,at_me,AAA,207,-0.09995680325883939,0.1785999065922733,-0.04789474720713997,0.18993429409939658,0.2318840579710145,0.7486950429471663,-0.04059106789685507,-0.03831360783128765
yield,at_me,AA,207,-0.05344607446170956,0.13797566529315544,0.1040091033100657,0.14159354663589815,0.15458937198067632,0.9377352975315062,0.18118679914867408,0.16469931439102417
yield,at_me,A,207,0.01238481740181491,0.0728241813692997,0.04870990288031756,0.09321974754532936,0.14492753623188406,0.9514245140392208,0.303767261364605,0.3750212755438289
yield,at_me,BBB,207,0.052901893919945264,0.07072212983838827,0.03865948659052142,0.06573180742365149,0.028985507246376812,0.9489323221980608,0.1465842774400167,0.11691781859636224
yield,at_me,BB,207,0.1007099996198886,0.13819816515094266,-0.002807362836021657,0.11869682594020352,0.08695652173913043,0.897231095248318,-0.007062785729884044,0.17144407302641096
yield,at_me,B,207,0.21821460215953567,0.21821460215953567,0.09967205412890706,0.1465256141718618,0.13043478260869565,0.8284601248711575,0.014437488005120402,-0.06682991218452819
yield,be_me,AAA,207,-0.15049301188467135,0.17320508075688776,-0.05986996132333798,0.19251338527170506,0.34782608695652173,0.7560688888201283,-0.08428720097255252,-0.05281550484029848
yield,be_me,AA,207,-0.06924683654184757,0.11737646878475852,0.03654703828133359,0.14285313389436444,0.14009661835748793,0.9480041659298223,0.16806960038551227,0.1418393954494712
yield,be_me,A,207,0.13399521733897107,0.13399521733897107,-0.008330883407379586,0.0864951766808211,0.0821256038647343,0.9474801674049039,0.2625565368247952,0.30260461821392737
yield,be_me,BBB,207,0.10705936717878084,0.11278468464671526,-0.010135920412510319,0.0958555382956889,0.07729468599033816,0.956884732803225,0.09171840647978967,0.06987820242178512
yield,be_me,BB,207,0.12247153879475418,0.1494744132477556,-0.09085661617667272,0.14895962168162735,0.10628019323671498,0.8916689765841077,0.04696048249503998,0.1415543624428173
yield,be_me,B,207,0.2249820306270186,0.22692128463978298,0.06235614971971819,0.1620348090554609,0.13043478260869565,0.8662368844937902,0.044557642811839715,-0.03757752040692944
yield,coupon,AAA,207,0.47896314020190883,0.47896314020190883,0.23651161244869479,0.35411314351566897,0.5748792270531401,0.9483451783698641,0.30134322071867226,0.18919942816865448
yield,coupon,AA,207,0.4375363114393407,0.4375363114393407,0.1312026772529346,0.2395053873161593,0.36231884057971014,0.9712226110194688,0.18311296310880992,-0.020707600378495505
yield,coupon,A,207,0.424503441749883,0.424503441749883,0.1313054748837208,0.21557242176052077,0.2608695652173913,0.9822426767997443,0.11518385149765567,-0.13137567429841412
yield,coupon,BBB,207,0.3748809921976157,0.3748809921976157,0.07516338850462288,0.1871714983236987,0.28502415458937197,0.9927310853196414,0.006332757292163815,-0.13704466507012253
yield,coupon,BB,207,0.36146449224473093,0.36146449224473093,0.06785725325611623,0.1461581773245365,0.0966183574879227,0.923942463051645,-0.0210480248141027,-0.13329999372287793
