Variant,Tail,ACF1,ACF6,P24,R24,F1,Lift
1. det_score LEVEL rank        (old Z_det),upper,0.8519014100693075,0.6425223920708177,16.941969579851584,16.58756721490634,0.16703858115345954,1.3804485942271487
2. det_score AR(1) innovation rank,upper,0.005461170896736252,0.2006666599650368,18.204779674703985,19.143896381061825,0.18634986896387187,1.5000160769710131
3. model PIT level             (two-sided),two-sided,0.31932133552120806,0.25988517207064105,20.302359490374837,22.99416558762053,0.21286085454742756,1.6670422055279646
4. model PIT AR(1) innovation  (two-sided),two-sided,-0.034327290186241415,0.09778251351673661,13.58866217455991,17.072430364269866,0.14974311543274743,1.1349921928260993
5. model PIT AR(1) innovation  (upper),upper,-0.034327290186241415,0.09778251351673661,13.831553809666204,15.939074670129699,0.14507898838131092,1.1237955952436083
